employee_id,annual_inc
32718328,84200.0
4428518,60000.0
11031023,127000.0
44276470,75000.0
64547736,104000.0
7417960,48000.0
32888938,85000.0
4419452,90000.0
4153263,85000.0
25466112,58000.0
66692274,127000.0
48063881,31500.0
59429348,145000.0
539049,51996.0
22363030,78000.0
9044906,70000.0
16170322,60000.0
1075130,148500.0
14258048,55000.0
57779211,185000.0
35002597,40000.0
62464110,50400.0
40573856,16000.0
19015223,55000.0
12457271,57000.0
41302161,38000.0
14958083,130000.0
14638919,56000.0
10799787,68000.0
68439586,16000.0
58994748,150000.0
11972463,110000.0
26388263,132000.0
11217187,72000.0
1819346,115000.0
25325650,36000.0
62816357,70000.0
641925,43200.0
45280665,40059.0
64030330,31900.0
60899304,62000.0
46132079,55000.0
34732157,75000.0
59649746,62000.0
57728954,68000.0
13610525,75000.0
41323682,58000.0
42535707,113000.0
6797620,85000.0
61310899,62000.0
16671713,45000.0
41231092,52332.8
63354905,45000.0
8526915,57000.0
983931,60000.0
17863860,70000.0
65521044,50000.0
1712708,28500.0
4676528,80000.0
35845083,45000.0
10890106,110690.0
23063347,40000.0
12001009,106000.0
720205,65004.0
6059035,80000.0
54259265,73000.0
7098125,63000.0
7819290,85000.0
67601397,30000.0
13637602,50995.0
32118707,65000.0
67500804,55500.0
1739637,43000.0
25515961,40000.0
6328045,77500.0
1449146,55000.0
2743672,87000.0
7842209,50000.0
5811218,36400.0
14481341,46900.0
41200569,45000.0
465477,60000.0
70307283,100000.0
64060323,33000.0
72159131,75000.0
8439705,110000.0
71332140,34500.0
22340509,75000.0
54259311,225000.0
1825082,64500.0
53462576,45400.0
42702461,62300.0
1850748,37000.0
25526423,70000.0
7227630,89000.0
51954690,64000.0
46302708,93500.0
68317904,250000.0
22402465,25000.0
15500866,120000.0
57578169,30000.0
59056153,61788.96
46466604,40000.0
64243941,90000.0
62745003,65000.0
57639000,57000.0
37737180,80000.0
32167049,40000.0
34190654,44000.0
41302339,235000.0
573576,30680.0
67532922,30000.0
69192617,65000.0
1703028,125000.0
26266717,66500.0
64952085,68240.0
46616765,50000.0
240443,27000.0
70000630,57600.0
14206970,73000.0
59631666,59000.0
26898029,75000.0
12032844,75000.0
11920688,65000.0
31186329,49214.0
63416884,54000.0
64816480,130000.0
46785924,70000.0
45480476,63000.0
23044066,75000.0
23853902,50000.0
15080031,93072.0
72070256,53000.0
41361726,61400.0
53825763,65000.0
63009779,20000.0
42542864,55000.0
16742104,96000.0
9098666,70000.0
59714246,46000.0
58921894,60000.0
11948660,92000.0
10751796,75000.0
22701889,73800.0
9637161,56500.0
31266885,56000.0
22421046,35000.0
5458073,60000.0
42363432,49000.0
8568940,120000.0
70049426,185000.0
5821166,45000.0
71308030,105000.0
8732783,57500.0
6907636,52000.0
41338041,130000.0
2836930,111000.0
2743594,68000.0
45280415,25000.0
7649589,98000.0
1365398,34680.0
43848504,248000.0
67688327,72000.0
72038150,205000.0
73089928,50000.0
1841352,100000.0
20327047,70000.0
46952674,22000.0
30204791,74000.0
9419159,87654.0
24043936,75000.0
4672272,80000.0
10761172,117478.4
4431101,160000.0
16682779,32000.0
45440822,108000.0
14978604,60000.0
8449957,38937.6
25986418,82000.0
65452929,39000.0
55328571,66000.0
72648159,84840.0
63385929,100000.0
12649364,80000.0
8083256,40000.0
60828625,39000.0
8477585,70000.0
11927992,120000.0
12097315,50000.0
32888170,45058.0
4673031,53000.0
43985353,48000.0
39042336,62000.0
63009914,85000.0
73030174,94500.0
10296814,74000.0
62695297,160000.0
43818420,52000.0
27238924,60000.0
15078641,63000.0
