Name,Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Iain Macleod,2018-03-14,1,Kew,Representing FCO Legal Directorate at funeral of HMG former chief legal adviser,Taxi,Economy,Nil Return,Nil Return,46,Nil Return
Iain Macleod,2018-03-20,4,Strasbourg,55th CAHDI (Committee of Legal Advisers on Public International Law),Rail,Economy,373.83,108.14,982.13,Nil Return
Andy Murdoch,2018-02-06,1,Geneva,Meetings with International Committee of the Red Cross,Air,Economy,Nil Return,Nil Return,263.35,Nil Return
Andy Murdoch,2018-02-25,3,Washington DC,Meetings with US government legal officials,Air,Premium Economy (out); Business (return),843.57,Nil Return,5137.52,Nil Return
Andy Murdoch,2018-03-04,6,Beijing,Meetings with Chinese officials,Air,Business,731.93,Nil Return,4200.68,Nil Return
Andy Murdoch,2018-03-15,2,Wilton Park,FCO Directors' annual 'event',Rail,Economy,Nil Return,Nil Return,37,Nil Return
Tracey Williamson,2018-03-15,2,Wilton Park Sussex,Directors' Event at Wilton Park,Rail ,Economy,Nil Return,Nil Return,20,Nil Return
Peter Jones,2018-03-15,2,Wilton Park,FCO Directors' Annual 'Event',Rail,Economy,Nil Return,Nil Return,39,Nil Return
Peter Jones,2018-02-01,1,Oxford ,Major Projects Leadership Academy (MPLA) Course,Rail,Economy,Nil Return,Nil Return,66,Nil Return
Peter Jones,2018-02-23,1,Leeds,British Foreign Policy Group Event,Rail,Economy,Nil Return,Nil Return,86.5,Nil Return
Peter Jones,2018-01-10,1,Milton Keynes,All staff meeting - Hanslope Park and Northgate House,Rail,Economy,Nil Return,Nil Return,68.03,Nil Return
Peter Jones,2018-03-08,1,Oxford ,Major Projects Leadership Academy (MPLA) Course,Rail,Economy,Nil Return,Nil Return,66,Nil Return
Peter Jones,2018-02-05,2,Manila and Singapore,All Staff Meetings with FCO staff at both Embassies,Air,Business/Economy,326.19,Nil Return,5558.21,Nil Return
Jane Marriott ,2018-02-24,5,Washington,Counter-Daesh conference and meetings with counterparts on counter terrorism,Air,Economy,583.22,Nil Return,658,Nil Return
Jane Marriott ,2018-03-07,2,Brussels ,Justice and Home Affairs Council ,Rail ,Economy ,85,Nil Return,243,Nil Return
Jane Marriott ,2018-03-15,2,Shoreham-by-sea ,Strategic seminar for FCO Directors ,Rail ,Economy ,Nil Return,Nil Return,18.7,Nil Return
Jane Marriott ,2018-03-18,2,Ankara ,Meetings with counterparts on counter terrorism issues,Air,Economy ,6,72,483,Nil Return
Jane Marriott ,2018-03-26,2,Bristol ,Hostile Environment 'SAFE' Refresher training ,Rail ,Economy ,Nil Return,40,623,Nil Return
Liane Saunders,2018-01-15,1,Dorking,Mandatory training course,Rail,Economy,Nil Return,Nil Return,20.4,Nil Return
Liane Saunders,2018-01-29,3,Ankara/Istanbul,Planners talks,Air,Economy,Nil Return,Nil Return,290.81,Nil Return
Liane Saunders,2018-02-07,2,Shoreham-by-Sea,Wilton Park Conference,Rail,Economy,Nil Return,Nil Return,26.1,Nil Return
Liane Saunders,2018-02-23,1,Charlbury,LSE-Ditchley Park Event,Rail,Economy,Nil Return,Nil Return,67.2,Nil Return
Liane Saunders,2018-03-09,1,Cardiff,British Foreign Policy Group Event,Rail,Economy,Nil Return,Nil Return,62.2,Nil Return
Liane Saunders,2018-03-15,1,Shoreham-by-Sea,"Strategic Seminar, Wilton Park",Rail,Economy,Nil Return,Nil Return,53.2,Nil Return
Liane Saunders,2018-03-19,3,Seoul,Planners talks,Air,Business,Nil Return,Nil Return,5586.71,Nil Return
Karen Pierce,2018-01-12,1,Paris,Attended the Paris Senior Lord Group with National Security Adviser to prepare for UK/France Summit,Eurostar,Business,Nil Return,Nil Return,502,Nil Return
Karen Pierce,2018-02-06,2,Beirut,Attended the funeral for Becky Dykes (Department for International Development) in Lebanon as the representative of the Permanent Under-Secretary,Air,Business,Nil Return,Nil Return,5110,Nil Return
Karen Pierce,2018-02-16,1,Munich,Munich Security Conference Quad meeting on Iran,Air,Business,341,Nil Return,847,Nil Return
Karen Pierce,2018-02-19,1,Paris,"EU (UK, Germany & France) + US Political Directors' meeting on Iran",Eurostar,Business,Nil Return,Nil Return,502,Nil Return
Karen Pierce,2018-03-03,2,New York,Familiarisation visit to New York   ,Air,World Traveller (out); business (return),Nil Return,Nil Return,3341,Nil Return
Karen Pierce,2018-03-04,1,Washington DC,"Familiarisation visit to New York, travelling on to DC for UK-US strategic dialogue",Rail,First Class,Nil Return,Nil Return,217,Nil Return
Hugh Elliott,2018-01-14,5,"Mexico City, Brasilia, Santiago ",Discuss International Agreements with host government ,Air,Business,Nil Return,Nil Return,6771.41,Nil Return
Hugh Elliott,2018-03-15,2,Kiev,Discuss International Agreements with host government ,Air,Economy,Nil Return,Nil Return,467.41,Nil Return
Simon Shercliff,2018-02-08,2,Portsmouth,Deep dive meetings with cross Whitehall partners,Rail,Economy,Nil Return,41.9,41.9,Nil Return
Alastair McPhail,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
James Kariuki,2018-01-29,2,Miami,Attend Deputy Her Majesty's Ambassador Conference,Air,Premium Economy,246,Nil Return,2775.99,Nil Return
Tim Dowse,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Helen Bower-Easton,2018-02-11,4,Pretoria,Africa Communications Conference,Air,Business,34.61,Nil Return,4081.27,Nil Return
Helen Bower-Easton,2018-03-08,2,Brussels,"Meetings with European External Action Service, UKRep Brussels staff and local media",Rail,Economy,8.92,Nil Return,231.43,Nil Return
Helen Bower-Easton,2018-03-25,1,Exeter,"Regional Strategic Engagement Visit to Exeter, incl. University, local government, businesses and NGOs",Rail,Economy,88.75,Nil Return,187,Nil Return
Jill Gallard,2018-01-09,2,Dorking,Mandatory training course,Rail,Economy,Nil Return,Nil Return,18,Nil Return
Jill Gallard,2018-03-15,1,Shoreham-by-Sea,"Strategic Seminar, Wilton Park",Rail,Economy,Nil Return,Nil Return,57,Nil Return
Julia Longbottom,2018-01-25,1,Crowborough,Attendance at Rapid Deployment Team training course - drove in own car,Car,Nil Return,Nil Return,Nil Return,36.98,Nil Return
Julia Longbottom,2018-02-17,7,"Bangkok, Phuket, Manila","UK-Thailand Consular Dialogue, visit to detention centres in Thailand and Philippines, visit to consular teams in Embassies",Air,"Business, Economy",391.44,56.92,4107.99,Nil Return
Julia Longbottom,2018-03-15,2,Wilton Park,FCO Directors' annual event,Car,Nil Return,Nil Return,Nil Return,32.25,Nil Return
Ben Merrick,2018-01-19,3,Miami,Miami Overseas Territories Governor's Conference,Air,Business,200,Nil Return,3275,Nil Return
Ben Merrick,2018-02-06,2,Isle of Man,Ministerial Environment Meeting Crown Dependencies and Overseas Territories,Air,Economy,Nil Return,Nil Return,427.49,Nil Return
Ben Merrick,2018-02-22,2,Brussels,16th Overseas Countries & Territories (OCT) - EU Forum,Eurostar,Economy,151.14,Nil Return,329,Nil Return
Ben Merrick,2018-03-12,4,Bermuda,Engagement with Bermuda Government and external stakeholders and Governor's Office,Air,"Premium Economy out, Business back",65,Nil Return,3455.5,Nil Return
Ben Merrick,2018-03-15,2,Wilton Park,Director's Away Day,Rail,Economy,Nil Return,Nil Return,37,Nil Return
Kara Owen,2018-01-30,3,Manchester,Forward Institute fellowship training,Rail,Economy,254,Nil Return,323,Nil Return
Kara Owen,2018-02-18,6,"Chile, Paraguay, Argentina",Meetings with British Embassy and senior officials in Government,Air,Economy/Business,281,Nil Return,7506,Nil Return
Kara Owen,2018-03-15,2,Shoreham-by-Sea,Forward Institute fellowship training,Rail,Economy,186,Nil Return,54,Nil Return
Patrick Moody,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Angus Lapsley,2018-01-23,1,Paris,Launch of Chemical Weapons Initiative,Eurostar,Business,Nil Return,Nil Return,490,Nil Return
Angus Lapsley,2018-01-30,1,Brussels,Brexit talks,Eurostar,Premium Economy,Nil Return,Nil Return,378,Nil Return
Angus Lapsley,2018-02-15,2,Munich,Munich Security Conference,Air,Economy,271.8,Nil Return,925,Nil Return
Angus Lapsley,2018-02-21,3,Ankara,Meetings at Embassy and Turkish Ministry of Foreign Affairs,Air,Business,Nil Return,Nil Return,514.51,Nil Return
Angus Lapsley,2018-02-26,1,Brussels,Brexit negotiations,Eurostar,Premium Economy,Nil Return,Nil Return,270,Nil Return
Angus Lapsley,2018-03-01,1,Paris,Brexit talks,Eurostar,Premium Economy,Nil Return,Nil Return,438,Nil Return
Angus Lapsley,2018-03-07,1,Brussels,Brexit talks,Eurostar,Premium Economy,Nil Return,Nil Return,338,Nil Return
Angus Lapsley,2018-03-09,1,Brussels,Brexit talks,Eurostar,Premium Economy,Nil Return,Nil Return,231,Nil Return
Angus Lapsley,2018-03-16,3,Washington,MoD trip to Alaska,Air,Business,249.23,Nil Return,4864,Nil Return
Angus Lapsley,2018-03-21,1,Brussels,Belgo-British Defence & Security Conference,Eurostar,Premium Economy,Nil Return,Nil Return,218,Nil Return
Angus Lapsley,2018-03-21,1,Brussels,Brexit talks,Eurostar,Premium Economy,Nil Return,Nil Return,247,Nil Return
Paul McKell,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Lewis Neal,2018-02-20,2,Ottawa,G7 Sous-Sherpa Meeting,Air,Economy,116,Nil Return,1197,Nil Return
Andrew Noble,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Charles Hay,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Paul Williams,2018-01-09,3,"Kuwait, Kuwait",Visit to new UNSC Member State visit,Air,Economy,22,46,872,Nil Return
Paul Williams,2018-01-23,2,"Strasbourg, France",Familiarisation visit to Multilateral Policy Directorate Post,Air,Economy,43,92,413,Nil Return
Paul Williams,2018-03-15,2,"Wilton Park, UK",Attend Wilton Park Directors Meeting,Rail,Economy,4,20,68,Nil Return
Lindsay Appleby,2018-01-09,2,Gibraltar,Talks with Spanish officials to discuss Gibraltar within the context of EU Exit,"Air, Rail",Economy,Nill return,Nill return,307.8,Nill return
Lindsay Appleby,2018-01-18,1,Edinburgh,Scottish stakeholder talks,Air,Economy,Nill return,Nill return,329.01,Nill return
Lindsay Appleby,2018-01-30,2,Gibraltar,Talks with CM of Gibraltar within the context of EU Exit,Air,Economy,Nill return,Nill return,591.3,Nill return
Lindsay Appleby,2018-02-07,1,Madrid,Talks with Spanish officials to discuss Gibraltar within the context of EU Exit,Air,Economy,Nill return,Nill return,512.6,Nill return
Lindsay Appleby,2018-03-13,1,Copenhagen,Talks with Danish Officials regarding EU Exit negotiations,Air,Economy,Nill return,Nill return,512.6,Nill return
Geoffrey Adams,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
